"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2008","European Union (current composition)","Median age of population","40.4",""
"2008","European Union (current composition)","Proportion of population aged 0-19 years","21.8",""
"2008","European Union (current composition)","Proportion of population aged 20-39 years","27.6",""
"2008","European Union (current composition)","Proportion of population aged 40-59 years","28.1",""
"2008","European Union (current composition)","Proportion of population aged 60-79 years","18.2",""
"2008","European Union (current composition)","Proportion of population aged 80 years and more","4.4",""
"2008","Belgium","Median age of population","40.7",""
"2008","Belgium","Proportion of population aged 0-19 years","23.0",""
"2008","Belgium","Proportion of population aged 20-39 years","26.0",""
"2008","Belgium","Proportion of population aged 40-59 years","28.4",""
"2008","Belgium","Proportion of population aged 60-79 years","17.9",""
"2008","Belgium","Proportion of population aged 80 years and more","4.7",""
"2008","Bulgaria","Median age of population","41.9",""
"2008","Bulgaria","Proportion of population aged 0-19 years","19.3",""
"2008","Bulgaria","Proportion of population aged 20-39 years","28.3",""
"2008","Bulgaria","Proportion of population aged 40-59 years","28.1",""
"2008","Bulgaria","Proportion of population aged 60-79 years","20.6",""
"2008","Bulgaria","Proportion of population aged 80 years and more","3.7",""
"2008","Czech Republic","Median age of population","39.3",""
"2008","Czech Republic","Proportion of population aged 0-19 years","20.4",""
"2008","Czech Republic","Proportion of population aged 20-39 years","30.5",""
"2008","Czech Republic","Proportion of population aged 40-59 years","27.8",""
"2008","Czech Republic","Proportion of population aged 60-79 years","17.9",""
"2008","Czech Republic","Proportion of population aged 80 years and more","3.4",""
"2008","Denmark","Median age of population","40.2",""
"2008","Denmark","Proportion of population aged 0-19 years","24.5",""
"2008","Denmark","Proportion of population aged 20-39 years","25.2",""
"2008","Denmark","Proportion of population aged 40-59 years","27.9",""
"2008","Denmark","Proportion of population aged 60-79 years","18.3",""
"2008","Denmark","Proportion of population aged 80 years and more","4.1",""
"2008","Germany including former GDR","Median age of population","43.2",""
"2008","Germany including former GDR","Proportion of population aged 0-19 years","19.4",""
"2008","Germany including former GDR","Proportion of population aged 20-39 years","25.0",""
"2008","Germany including former GDR","Proportion of population aged 40-59 years","30.3",""
"2008","Germany including former GDR","Proportion of population aged 60-79 years","20.5",""
"2008","Germany including former GDR","Proportion of population aged 80 years and more","4.8",""
"2008","Estonia","Median age of population","39.8",""
"2008","Estonia","Proportion of population aged 0-19 years","21.8",""
"2008","Estonia","Proportion of population aged 20-39 years","28.5",""
"2008","Estonia","Proportion of population aged 40-59 years","27.3",""
"2008","Estonia","Proportion of population aged 60-79 years","18.7",""
"2008","Estonia","Proportion of population aged 80 years and more","3.7",""
"2008","Ireland","Median age of population","33.4",""
"2008","Ireland","Proportion of population aged 0-19 years","27.0",""
"2008","Ireland","Proportion of population aged 20-39 years","33.5",""
"2008","Ireland","Proportion of population aged 40-59 years","24.4",""
"2008","Ireland","Proportion of population aged 60-79 years","12.6",""
"2008","Ireland","Proportion of population aged 80 years and more","2.6",""
"2008","Greece","Median age of population","40.3",""
"2008","Greece","Proportion of population aged 0-19 years","20.2",""
"2008","Greece","Proportion of population aged 20-39 years","29.3",""
"2008","Greece","Proportion of population aged 40-59 years","26.4",""
