
Code,Country language,English,French,German
BE,Belgique/België,Belgium,Belgique,Belgien
BG,Bulgarija,Bulgaria,Bulgarie,Bulgarien
CZ,Česká republika,Czech Republic,République tchèque,Tschechische Republik
DK,Danmark,Denmark,Danemark,Dänemark
DE,Deutschland,Germany,Allemagne,Deutschland
EE,Eesti,Estonia,Estonie,Estland
IE,Éire/Ireland,Ireland,Irlande,Irland
EL,Elláda,Greece,Grèce,Griechenland
ES,España,Spain,Espagne,Spanien
FR,France,France,France,Frankreich
HR,Hrvatska,Croatia,Croatie,Kroatien
IT,Italia,Italy,Italie,Italien
CY,Kýpros,Cyprus,Chypre,Zypern
LV,Latvija,Latvia,Lettonie,Lettland
LT,Lietuva,Lithuania,Lituanie,Litauen
LU,Luxembourg,Luxembourg,Luxembourg,Luxemburg
HU,Magyarország,Hungary,Hongrie,Ungarn
MT,Malta,Malta,Malte,Malta
NL,Nederland,Netherlands,Pays-Bas,Niederlande
AT,Österreich,Austria,Autriche,Österreich
PL,Polska,Poland,Pologne,Polen
PT,Portugal,Portugal,Portugal,Portugal
RO,România,Romania,Roumanie,Rumänien
SI,Slovenija,Slovenia,Slovénie,Slowenien
SK,Slovensko,Slovakia,Slovaquie,Slowakei
FI,Suomi/Finland,Finland,Finlande,Finnland
SE,Sverige,Sweden,Suède,Schweden
UK,United Kingdom,United Kingdom,Royaume-Uni,Vereinigtes Königreich
