Russia,Saudi Arabia,0.0
Egypt,Uruguay,3.2
Morocco,Iran,0.0
Portugal,Spain,0.2
France,Australia,5.4
Argentina,Iceland,1.7
Peru,Denmark,4.1
Croatia,Nigeria,0.0
Costa Rica,Serbia,2.1
Germany,Mexico,0.0
Brazil,Switzerland,0.1
Sweden,South Korea,0.7
Belgium,Panama,0.0
Tunisia,England,0.2
Poland,Senegal,2.5
Columbia,Japan,1.2
Russia,Egypt,0.0
Portugal,Morocco,4.6
Uruguay,Saudi Arabia,6.8
Iran,Spain,0.0
France,Peru,0.7
Denmark,Australia,1.2
Argentina,Croatia,0.7
Brazil,Costa Rica,0.0
Nigeria,Iceland,0.8
Serbia,Switzerland,0.2
Belgium,Tunisia,0.0
Germany,Sweden,3.7
South Korea,Mexico,0.0
England,Panama,2.6
Japan,Senegal,0.2
Poland,Columbia,0.3
Saudi Arabia,Egypt,1.4
Uruguay,Russia,2.0
Iran,Portugal,1.5
Spain,Morocco,0.0
Australia,Peru,0.0
Denmark,France,0.0
Iceland,Croatia,0.0
Nigeria,Argentina,0.0
Mexico,Sweden,0.3
South Korea,Germany,3.0
Serbia,Brazil,1.2
Switzerland,Costa Rica,2.0
Japan,Poland,0.0
Senegal,Columbia,0.0
England,Belgium,0.0
Panama,Tunisia,0.8
