Team,Points,Image
Germany,1544,//img.fifa.com/images/flags/4/ger.png
Brazil,1384,//img.fifa.com/images/flags/4/bra.png
Belgium,1346,//img.fifa.com/images/flags/4/bel.png
Portugal,1306,//img.fifa.com/images/flags/4/por.png
Argentina,1254,//img.fifa.com/images/flags/4/arg.png
Switzerland,1179,//img.fifa.com/images/flags/4/sui.png
France,1166,//img.fifa.com/images/flags/4/fra.png
Spain,1162,//img.fifa.com/images/flags/4/esp.png
Chile,1146,//img.fifa.com/images/flags/4/chi.png
Poland,1128,//img.fifa.com/images/flags/4/pol.png
Peru,1106,//img.fifa.com/images/flags/4/per.png
Denmark,1054,//img.fifa.com/images/flags/4/den.png
England,1040,//img.fifa.com/images/flags/4/eng.png
Tunisia,1012,//img.fifa.com/images/flags/4/uru.png
Mexico,1008,//img.fifa.com/images/flags/4/mex.png
Colombia,989,//img.fifa.com/images/flags/4/col.png
Uruguay,976,//img.fifa.com/images/flags/4/ned.png
Croatia,975,//img.fifa.com/images/flags/4/wal.png
Netherlands,969,//img.fifa.com/images/flags/4/ita.png
Italy,947,//img.fifa.com/images/flags/4/cro.png
Wales,931,//img.fifa.com/images/flags/4/tun.png
Iceland,930,//img.fifa.com/images/flags/4/isl.png
Sweden,889,//img.fifa.com/images/flags/4/crc.png
USA,880,//img.fifa.com/images/flags/4/swe.png
Costa Rica,858,//img.fifa.com/images/flags/4/usa.png
Austria,841,//img.fifa.com/images/flags/4/aut.png
Northern Ireland,837,//img.fifa.com/images/flags/4/sen.png
Senegal,825,//img.fifa.com/images/flags/4/svk.png
Slovakia,786,//img.fifa.com/images/flags/4/nir.png
Ukraine,777,//img.fifa.com/images/flags/4/rou.png
Republic of Ireland,776,//img.fifa.com/images/flags/4/irl.png
Romania,737,//img.fifa.com/images/flags/4/par.png
Paraguay,737,//img.fifa.com/images/flags/4/ven.png
Scotland,735,//img.fifa.com/images/flags/4/srb.png
Serbia,732,//img.fifa.com/images/flags/4/ukr.png
IR Iran,727,//img.fifa.com/images/flags/4/aus.png
Turkey,714,//img.fifa.com/images/flags/4/irn.png
Congo DR,711,//img.fifa.com/images/flags/4/tur.png
Venezuela,709,//img.fifa.com/images/flags/4/cod.png
Australia,700,//img.fifa.com/images/flags/4/bih.png
Bosnia and Herzegovina,688,//img.fifa.com/images/flags/4/mar.png
Morocco,681,//img.fifa.com/images/flags/4/sco.png
Montenegro,671,//img.fifa.com/images/flags/4/mne.png
Greece,657,//img.fifa.com/images/flags/4/gre.png
Czech Republic,647,//img.fifa.com/images/flags/4/egy.png
Egypt,636,//img.fifa.com/images/flags/4/cze.png
Nigeria,635,//img.fifa.com/images/flags/4/gha.png
Norway,608,//img.fifa.com/images/flags/4/nga.png
Hungary,604,//img.fifa.com/images/flags/4/bul.png
Cameroon,603,//img.fifa.com/images/flags/4/cmr.png
Ghana,603,//img.fifa.com/images/flags/4/hun.png
Jamaica,587,//img.fifa.com/images/flags/4/bfa.png
Bulgaria,583,//img.fifa.com/images/flags/4/nor.png
Burkina Faso,582,//img.fifa.com/images/flags/4/jam.png
Panama,574,//img.fifa.com/images/flags/4/pan.png
Albania,549,//img.fifa.com/images/flags/4/svn.png
Bolivia,548,//img.fifa.com/images/flags/4/kor.png
Cape Verde Islands,545,//img.fifa.com/images/flags/4/alb.png
Honduras,530,//img.fifa.com/images/flags/4/bol.png
Japan,528,//img.fifa.com/images/flags/4/ecu.png
Korea Republic,520,//img.fifa.com/images/flags/4/jpn.png
Finland,507,//img.fifa.com/images/flags/4/hon.png
Ecuador,506,//img.fifa.com/images/flags/4/fin.png
Algeria,499,//img.fifa.com/images/flags/4/mli.png
Slovenia,495,//img.fifa.com/images/flags/4/cpv.png
Russia,493,//img.fifa.com/images/flags/4/alg.png
Mali,462,//img.fifa.com/images/flags/4/ksa.png
Saudi Arabia,462,//img.fifa.com/images/flags/4/civ.png
C,458,//img.fifa.com/images/flags/4/gui.png
Guinea,450,//img.fifa.com/images/flags/4/rus.png
Cura,439,//img.fifa.com/images/flags/4/mkd.png
South Africa,432,//img.fifa.com/images/flags/4/slv.png
China PR,431,//img.fifa.com/images/flags/4/syr.png
Uganda,426,//img.fifa.com/images/flags/4/rsa.png
Kyrgyz Republic,424,//img.fifa.com/images/flags/4/chn.png
Syria,423,//img.fifa.com/images/flags/4/zam.png
FYR Macedonia,422,//img.fifa.com/images/flags/4/uae.png
Zambia,412,//img.fifa.com/images/flags/4/blr.png
Belarus,410,//img.fifa.com/images/flags/4/lib.png
Canada,407,//img.fifa.com/images/flags/4/can.png
United Arab Emirates,405,//img.fifa.com/images/flags/4/cuw.png
Lebanon,404,//img.fifa.com/images/flags/4/uga.png
Luxembourg,401,//img.fifa.com/images/flags/4/cgo.png
Benin,397,//img.fifa.com/images/flags/4/oma.png
El Salvador,392,//img.fifa.com/images/flags/4/gab.png
Cyprus,386,//img.fifa.com/images/flags/4/lux.png
Oman,383,//img.fifa.com/images/flags/4/cyp.png
Uzbekistan,381,//img.fifa.com/images/flags/4/ben.png
Congo,378,//img.fifa.com/images/flags/4/irq.png
Gabon,374,//img.fifa.com/images/flags/4/fro.png
Iraq,372,//img.fifa.com/images/flags/4/tri.png
Trinidad and Tobago,366,//img.fifa.com/images/flags/4/kgz.png
Estonia,364,//img.fifa.com/images/flags/4/isr.png
Faroe Islands,364,//img.fifa.com/images/flags/4/est.png
Georgia,362,//img.fifa.com/images/flags/4/uzb.png
Palestine,357,//img.fifa.com/images/flags/4/geo.png
India,354,//img.fifa.com/images/flags/4/ind.png
Armenia,347,//img.fifa.com/images/flags/4/qat.png
Israel,347,//img.fifa.com/images/flags/4/ple.png
Libya,341,//img.fifa.com/images/flags/4/arm.png
Qatar,339,//img.fifa.com/images/flags/4/lby.png
Vietnam,334,//img.fifa.com/images/flags/4/vie.png
Sierra Leone,332,//img.fifa.com/images/flags/4/nig.png
Guinea-Bissau,330,//img.fifa.com/images/flags/4/hai.png
Mauritania,314,//img.fifa.com/images/flags/4/aze.png
Mozambique,311,//img.fifa.com/images/flags/4/mad.png
Namibia,308,//img.fifa.com/images/flags/4/mtn.png
Haiti,302,//img.fifa.com/images/flags/4/prk.png
Niger,299,//img.fifa.com/images/flags/4/cta.png
Korea DPR,297,//img.fifa.com/images/flags/4/jor.png
Philippines,289,//img.fifa.com/images/flags/4/sle.png
Kenya,289,//img.fifa.com/images/flags/4/ken.png
Zimbabwe,287,//img.fifa.com/images/flags/4/bhr.png
Madagascar,284,//img.fifa.com/images/flags/4/moz.png
Central African Republic,283,//img.fifa.com/images/flags/4/phi.png
Bahrain,281,//img.fifa.com/images/flags/4/nam.png
Kazakhstan,273,//img.fifa.com/images/flags/4/kaz.png
Jordan,272,//img.fifa.com/images/flags/4/zim.png
Malawi,269,//img.fifa.com/images/flags/4/tjk.png
Tajikistan,266,//img.fifa.com/images/flags/4/nzl.png
Chinese Taipei,263,//img.fifa.com/images/flags/4/gnb.png
Thailand,253,//img.fifa.com/images/flags/4/tha.png
Rwanda,252,//img.fifa.com/images/flags/4/mwi.png
Yemen,251,//img.fifa.com/images/flags/4/tpe.png
Antigua and Barbuda,251,//img.fifa.com/images/flags/4/tog.png
Azerbaijan,245,//img.fifa.com/images/flags/4/ltu.png
Sudan,245,//img.fifa.com/images/flags/4/atg.png
Turkmenistan,242,//img.fifa.com/images/flags/4/sdn.png
Togo,242,//img.fifa.com/images/flags/4/lva.png
St Kitts and Nevis,241,//img.fifa.com/images/flags/4/tkm.png
Swaziland,240,//img.fifa.com/images/flags/4/and.png
Andorra,230,//img.fifa.com/images/flags/4/nca.png
New Zealand,229,//img.fifa.com/images/flags/4/yem.png
Lithuania,229,//img.fifa.com/images/flags/4/swz.png
Myanmar,227,//img.fifa.com/images/flags/4/skn.png
Nicaragua,224,//img.fifa.com/images/flags/4/rwa.png
Tanzania,223,//img.fifa.com/images/flags/4/ang.png
Angola,221,//img.fifa.com/images/flags/4/mya.png
Latvia,217,//img.fifa.com/images/flags/4/bot.png
Afghanistan,199,//img.fifa.com/images/flags/4/tan.png
Guatemala,198,//img.fifa.com/images/flags/4/kvx.png
Botswana,195,//img.fifa.com/images/flags/4/hkg.png
Comoros,195,//img.fifa.com/images/flags/4/eqg.png
Hong Kong,194,//img.fifa.com/images/flags/4/sol.png
Equatorial Guinea,190,//img.fifa.com/images/flags/4/afg.png
Ethiopia,188,//img.fifa.com/images/flags/4/gua.png
Burundi,188,//img.fifa.com/images/flags/4/les.png
Maldives,183,//img.fifa.com/images/flags/4/bdi.png
Dominican Republic,175,//img.fifa.com/images/flags/4/com.png
