Team,Matches played,Wins,Draws,Losses,Tot cards,Yellow cards,Second Yellow cards and red card,Red cards
GERMANY,106,66,20,20,117,110,2,5
BRAZIL,104,70,17,17,108,97,1
ITALY,83,45,21,17,98,90,1,7
ARGENTINA,77,42,14,21,120,111,1,8
ENGLAND,62,26,20,16,54,51,0,3
SPAIN,59,29,12,18,65,64,0,1
FRANCE,59,28,12,19,62,56,1,5
MEXICO,53,14,14,25,74,68,2,4
URUGUAY,51,20,12,19,69,60,1,8
NETHERLANDS,50,27,12,11,97,90,4,3
SWEDEN,46,16,13,17,41,38,2,1
SERBIA,43,17,8,18,51,46,2,3
BELGIUM,41,14,9,18,39,36,1,2
RUSSIA,40,17,8,15,41,38,1,2
CZECH REPUBLIC,33,12,5,16,29,23,1,5
CHILE,33,11,7,15,46,43,1,2
SWITZERLAND,33,11,6,16,32,31,0,1
USA,33,8,6,19,52,48,2,2
HUNGARY,32,15,3,14,11,6,0,5
POLAND,31,15,5,11,41,40,1,0
KOREA REPUBLIC,31,5,9,17,63,61,0,2
AUSTRIA,29,12,4,13,24,23,0,1
PARAGUAY,27,7,10,10,41,39,1,1
PORTUGAL,26,13,4,9,46,40,3,3
BULGARIA,26,3,8,15,36,33,3,0
SCOTLAND,23,4,7,12,18,17,0,1
CAMEROON,23,4,7,12,54,46,1,7
ROMANIA,21,8,5,8,33,32,0,1
COLOMBIA,18,7,2,9,22,22,0,0
NIGERIA,18,5,3,10,28,27,0,1
JAPAN,17,4,4,9,31,31,0,0
DENMARK,16,8,2,6,34,31,0,3
CROATIA,16,7,2,7,37,33,2,2
COSTA RICA,15,5,4,6,31,30,1,0
PERU,15,4,3,8,10,9,0,1
NORTHERN IRELAND,13,3,5,5,10,9,0,1
ALGERIA,13,3,3,7,16,14,2,0
REPUBLIC OF IRELAND,13,2,8,3,16,16,0,0
MOROCCO,13,2,4,7,19,19,0,0
AUSTRALIA,13,2,3,8,28,24,1,3
SAUDI ARABIA,13,2,2,9,23,22,0,1
GHANA,12,4,3,5,34,33,1,0
TUNISIA,12,1,4,7,29,28,1,0
IRAN,12,1,3,8,18,18,0,0
TURKEY,10,5,1,4,19,17,1,1
ECUADOR,10,4,1,5,24,23,0,1
GREECE,10,2,2,6,20,19,1,0
IVORY COAST,9,3,1,5,20,19,1,0
SOUTH AFRICA,9,2,4,3,23,21,0,2
HONDURAS,9,0,3,6,15,13,1,1
NORWAY,8,2,3,3,13,13,0,0
KOREA DPR,7,1,1,5,2,2,0,0
GERMAN DR,6,2,2,2,10,10,0,0
SLOVENIA,6,1,1,4,20,19,0,1
NEW ZEALAND,6,0,3,3,6,6,0,0
BOLIVIA,6,0,1,5,8,6,1,1
EL SALVADOR,6,0,0,6,9,9,0,0
SENEGAL,5,2,2,1,15,14,0,1
UKRAINE,5,2,1,2,13,12,0,1
WALES,5,1,3,1
SLOVAKIA,4,1,1,2,11,11,0,0
EGYPT,4,0,2,2,4,4,0,0
CUBA,3,1,1,1
BOSNIA AND HERZEGOVINA,3,1,0,2,3,3,0,0
JAMAICA,3,1,0,2,5,4,1,0
ANGOLA,3,0,2,1,10,9,1,0
ISRAEL,3,0,2,1,4,4,0,0
TRINIDAD AND TOBAGO,3,0,1,2,9,8,1,0
KUWAIT,3,0,1,2,3,3,0,0
CONGO DR,3,0,0,3,3,2,0,1
CHINA,3,0,0,3,6,5,0,1
TOGO,3,0,0,3,9,8,1,0
IRAQ,3,0,0,3,9,8,1,0
HAITI,3,0,0,3,3,3,0,0
CANADA,3,0,0,3,3,2,0,1
UNITED ARAB EMIRATES,3,0,0,3,6,5,1,0
INDONESIA,1,0,0,1
